order_id,region,category,rep,amount,quantity,order_date
1001,North,Electronics,Alice,1200.50,3,2024-01-05
1002,South,Furniture,Bob,850.00,2,2024-01-07
1003,East,Office,Carol,320.75,10,2024-01-09
1004,West,Electronics,Dan,2100.00,5,2024-01-11
1005,North,Furniture,Alice,640.25,4,2024-01-12
1006,South,Office,Bob,150.00,20,2024-01-15
1007,East,Electronics,Carol,1800.00,4,2024-01-18
1008,West,Furniture,Dan,990.90,3,2024-01-20
1009,North,Office,Alice,275.50,15,2024-01-22
1010,South,Electronics,Bob,1450.00,3,2024-01-25
1011,East,Furniture,Carol,720.00,2,2024-01-28
1012,West,Office,Dan,410.30,12,2024-02-01
1013,North,Electronics,Alice,1990.00,5,2024-02-03
1014,South,Furniture,Bob,530.00,2,2024-02-05
1015,East,Office,,180.25,8,2024-02-08
1016,West,Electronics,Dan,2450.75,6,2024-02-10
1017,North,Furniture,Alice,610.00,3,2024-02-12
1018,South,Office,Bob,95.50,25,2024-02-14
1019,East,Electronics,Carol,1675.00,4,2024-02-16
1020,West,Furniture,Dan,880.00,3,2024-02-18
1021,North,Office,Alice,340.00,14,2024-02-20
1022,South,Electronics,Bob,1320.40,3,2024-02-22
1023,East,Furniture,Carol,760.60,2,2024-02-24
1024,West,Office,,225.00,11,2024-02-26
1025,North,Electronics,Alice,2050.00,5,2024-03-01
1026,South,Furniture,Bob,495.00,2,2024-03-03
1027,East,Office,Carol,205.75,9,2024-03-05
1028,West,Electronics,Dan,1899.99,4,2024-03-07
1029,North,Furniture,Alice,655.50,3,2024-03-09
1030,South,Office,Bob,120.00,18,2024-03-11
1031,East,Electronics,Carol,1720.00,4,2024-03-13
1032,West,Furniture,Dan,930.25,3,2024-03-15
1033,North,Office,Alice,390.00,13,2024-03-17
1034,South,Electronics,Bob,1580.00,4,2024-03-19
1035,East,Furniture,,700.00,2,2024-03-21
1036,West,Office,Dan,455.80,12,2024-03-23
1037,North,Electronics,Alice,2150.50,5,2024-03-25
1038,South,Furniture,Bob,560.00,2,2024-03-27
1039,East,Office,Carol,240.00,10,2024-03-29
1040,West,Electronics,Dan,1975.00,4,2024-03-31
